YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2066,5790,440,"Kathmandu, Nepal",Bagar foundation Nepal,TEXT MATERIAL,Bagar: Mahakabi Devkota satabarsiki Bishesanka :Barsa 28 Purnanka 82,Nakul Silwal
1976,2475,698,Allahabad,Kitab Mahal,TEXT MATERIAL,Public administration in Theory and Practice,M.P. Sharma
2066,4942,261,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Radha,Krishna Dharabasi
1974,730,225,New York,McGraw-Hill Book Company,TEXT MATERIAL,Theory & Problems of Vector Analysis,Murray R. Spiegel
2013,10130,637,India,Wiley,TEXT MATERIAL,Essential Mathematics for Economics and Business,Teresa Bradley | Paul Patton
2056,8957,75,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Chetna ktha-sangrah,Janak Prasad Bhattarai
2000,8414,135,New York,The World Bank,TEXT MATERIAL,Natural Resource Management Strategy,The World Bank
2050,3103,409,Barnasi,Rajesh prakashan,TEXT MATERIAL,Nepalko Arthsastrako parichaya,Dr. Ramanda Thakur
2019,12471,38,"Bharatpur,Chitwan","Department Of English,Birendra Multiple Campus",TEXT MATERIAL,Dialetics Of Tradition And Modernity in R.K. Narayan's The Dark Room,"Gaudel,Rita Devi"
2007,6796,164,"Bhotahity, Kathmandu",Taleju Prakashan,TEXT MATERIAL,Experimental Physical Chemistry:,Moti Kaji Sthapit | Raja Ram Pradhananga
2059,7550,646,Kathmandu,New Hira Books Interprises,TEXT MATERIAL,Micro Economics,Jeetendra Prakash Aryal
1998,8438,252,Canada,Kumarian Press,TEXT MATERIAL,Knowledge Shared,Edward T. Jackson | Yusuf Kassam
1999,1662,915,New Delhi,Prentice-Hall,TEXT MATERIAL,Operations Research An Introduction,Hamdy A. Taha
1992,865,390,London,Everyman's Library,TEXT MATERIAL,A Sportsman's Notebook,Ivan Turgenev
1966,2393,,New Delhi,Oxford & IBH Publishing co,TEXT MATERIAL,Comparative Politics,"Gabriel A. Almond | G. Bingham Powell, Jr"
2014,8325,310,"Kathmandu, Nepal",Ratnapustak Bhandar,TEXT MATERIAL,Diseaese Prevention and Epidemiological methods ( Rog roktham tatha mahamari bigyan bidhiharu),Som Nath Dhakal
2012,7868,688,Wiley India,Wiley India Pvt. Ltd.,TEXT MATERIAL,Sedimentary Environments:,H.G. Reading
