YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2000,261,430,Columbus,Glencoe/McGraw-Hill,TEXT MATERIAL,Jane Eyre,Charlotte Bronte
1996,1557,464,New Delhi,Vikas Publishing House,TEXT MATERIAL,Modern Political Theory,S.P. Varma
2002,1213,273,New York,Lynne Rienner Publishers,TEXT MATERIAL,Cozy Politics:,Peter Kobray
0,8085,,,,TEXT MATERIAL,Study of rocks in thin sections,W.W. Moorehouse
2005,1697,418,New York,Oxford University Press,TEXT MATERIAL,The Poetry Handbook,John Lennard
2030,3271,220,Kathmandu,Nepal Rajkiya Pragya pratisthan,TEXT MATERIAL,Nepalko Dharmik Itihas,Jagadish Chandra Regmi
2054,1366,168,"Bhotahity, Kathmandu",Sukunda Pustak Bhawan,TEXT MATERIAL,A Textbook of Vector Analysis,M.B. Singh | B.C. Bajracharya
2065,7250,276,"Biratnagar, Nepal",Saraswati Prakashan,TEXT MATERIAL,Bhasha Bigyan Shabdakosh,Chakra Pani Khanal
1994,1250,200,"Bhotahity, Kathmandu",Ratna Pustak Bhandar,TEXT MATERIAL,Problems in Physics Part 1:,V.K. Shrestha
2009,5168,17,Bharatpur,"Department of Management, BMC",TEXT MATERIAL,Project planning process of fruits & vegetables wholesale market,Laxmi Silwal
1989,3128,391,"Railway, India",Prakashan Kendra,TEXT MATERIAL,A Textbook of Co-ordinate Geometry,Dr. Ram Ballabh
1970,10425,702,New Delhi,Motilal Banarasidas,TEXT MATERIAL,The Science of Language (Maiks Mular Bhasha Bigyan),Udaya Narayan Tiwari
1976,2548,384,NewYork,Anchor Books,TEXT MATERIAL,America's Continuing Revolution,Irving Kristol
2009,4768,729,New Delhi,PHI learning,TEXT MATERIAL,Production & Operation Management,"Everett E. Adam, Jr | Ronald J. Ebert"
2062,4845,364,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Paach Saya Barsha,Bal Krishna Pokharel
1995,5076,626,New Delhi,Vikas Publishing House,TEXT MATERIAL,An Introduction to Chemical Thermodynamics,R.P. Rastogi | R.R. Misra
2013,7802,87,"T.U., Birendra Multiple Campus , Bharatpur, Chitwan","T.U. Departnent of Economics, Birendra Multiple Campus",TEXT MATERIAL,Tourism in Nepal : A Case study of chitwan National Park-Sauraha,Yadav Prasad Neupane
2021,6572,515,New Delhi,S. Chand  Company,TEXT MATERIAL,A Manual of Practical Zoology Chordates:,P.S. Verma
1994,9845,278,London,The Sheridan book Company,TEXT MATERIAL,In la-La land We Trust,Robert Campbell
2038,3160,216,"Bhotahity, Kathmandu",Ratna Pustak Bhandar,TEXT MATERIAL,Intermediate Co-ordinate Geometry,G.D. Pant
2003,5826,360,"Kirtipur, Kathmandu",New Hira Books enterprises,TEXT MATERIAL,Research Methodology in Management,Bharat Pokharel
2005,303,604,New York,W.W. Norton & Company,TEXT MATERIAL,Robert Browning's Poetry,James F. Loucks
2007,672,757,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Business Research Methods,Donald R. Cooper | Pamela S. Schindler
2021,12351,57,"Bharatpur, Chitwan","Department of Sociology and Anthropology, Birendra",TEXT MATERIAL,Social impact of facebook users on college students,"Neupane, Sujan"
2001,5631,124,"Lunkhu Deurali , Parbat",Yagga Prasad Adhikari,TEXT MATERIAL,The Nepali Congress Idealism to Realism,Dr. Yagya Prasad Adhikari
2039,6284,161,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Nepali Sankshipta Ramayan,Chakra Pani Chalise
0,6044,248,"T.U. Kirtipur, Kathmandu",Academic Book Centre,TEXT MATERIAL,Power & Politics: Governing Human collectives ,Madhav Prasad Timalsina | Durga Bahadur Ale
2072,9377,340,"Bhotahity ,Kathmandu, Nepal",M.K. Publishers and Distributors,TEXT MATERIAL,Business Environment and Strategic Management in Nepal,Dr. Govind Ram Agrawal
2012,7957,87," Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus",TEXT MATERIAL,"Exploring Job Satisfaction of female teachers in institutional schools : A case study of some schools in Chitwan, Nepal",Pradip Paudel
1974,3851,549,Delhi,K.Nath & Co,TEXT MATERIAL,Elements Political  Science,Jyoti Prasad Suda
1999,50,718 with index,"New Delhi, India",Prentice-hall of India Private Limited,TEXT MATERIAL,Marketing Management,Philip Kotler
1976,1383,348,Allahabad,Pothishala Private Limited,TEXT MATERIAL,Textbook on Algebra & Therory of Equations,Chandrika Prasad
2055,4710,49,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Champa,Laxmi Prasad Devkota
2066,6268,314,Kathmandu - Tanahun,Premdatta Goma Tripathi smriti Prakashanmala - 2,TEXT MATERIAL,Samjhanakunja,Prof. Dr. Basudev Tripathi
2050,2412,335,"Kathmandu, Nepal",Shail Prakashan,TEXT MATERIAL,Political Thought & Analysis,Shirish Chandra Regmi
2002,8923,45,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Impact of Small Farmers Devlopmet Programme on Socio-Economic Devlopment,Jagadish Aryal
2044,7964,72,"Bagiya Hapur, Dang, Nepal",Sajha prakashan,TEXT MATERIAL,Tharu Jatiko Itihas tatha Sanskriti ya Tharu Puran,Tek Nath Gautam
2004,6828,366,New Delhi,New Age International,TEXT MATERIAL,Environmental Chemistry,A.K. De
2003,8421,280,New York,McGraw-Hill/Irwin,TEXT MATERIAL,Study Guide for Use With Microeconomics & Bahavior,Robert H. Frank
2013,8458,931,India,Pearson,TEXT MATERIAL,An introduction to Database Systems,C.J. Date | A. Kannan | S. Swamynathan
2019,12483,35,"Bhartpur,Chitwan","Department Of Sociolgy,Birendra Multiple Campus",TEXT MATERIAL,Prevalance And Factors Associated Abortion Among Clients,"Soti,Roshan"
2018,10963,227,Birgunj,Jyoti sharivastava,TEXT MATERIAL,Introductory Bioinformatics,DR.Umesh p. shrivastava
0,8385,594,"Kathmandu, Nepal",New Hira Books Enterprises,TEXT MATERIAL,Quantitative Techniques,Jeetendra Prakash Aryal | Arun Gautam
2049,3257,160,"Biratnagar, Nepal",Kamala Dahal,TEXT MATERIAL,Nepali Sanskriti ra Sabhyata,Prem Khatri | Peshal Dahal
1969,5567,222,Patna,Scientific book Com,TEXT MATERIAL,Textbook on Statics,P. Prasad
0,8115,,,,TEXT MATERIAL,Introduction to sedimentary rocks and stratigraphy,Donald R. Prothero
2002,4532,217,,John Wiley and Sons,TEXT MATERIAL,Brain Power,Shannon Bradord
1984,3411,729,New Delhi,Vani educational Books,TEXT MATERIAL,Monetary Theory,H.L.Bhatia
2009,4267,72,"New Baneshwor, Kathmandu","Nepal Commerce Campus, Department of Management (MBS), T.U.",TEXT MATERIAL,A study on Brand Loyalty on consumer products in Pokhara Valley,Ganesh Datta Rawal
2014,10507,757,Delhi,PHI learning,TEXT MATERIAL,Statistics for Managers : Using microsoft excel,David M. Levine | David F. Stephan | Kathryn A. Szabat
2001-04-15,13837,576,"New Hope,Pennsylvania",John Wiley  Sons,TEXT MATERIAL,Bond Credit Analysis,Frank J. Fabozzi
2018,10169,690,New Delhi,Pearson Education,TEXT MATERIAL,Organizational Behavior,Stephen P. Robbins | Timothy A. Judge | Seema Sanghi
2003,8505,122,New York,McGraw-Hill/Irwin,TEXT MATERIAL,Legal Land Mines in E-Commerce,David R. Canton | John E. Millar
2000,8401,729,New York,McGraw-Hill/Irwin,TEXT MATERIAL,"Business, Government & Society A Managerial Perspective, Text & Cases",George A. Steiner | John F. Steiner
2011,6872,82,"Pokhara, Nepal","Central Department of Sociology, Prithwi Narayan Campus",TEXT MATERIAL,People's Participation in Community Forest,Gokarna Chhetri
2003,8445,296,New York,"John Wiley & Sons, Inc.",TEXT MATERIAL,Back Fire,Peter Burrows
1979,1093,339,New York,Cambridge University Press,TEXT MATERIAL,Plant Hormons & Plant Development,William P. Jacobs
2070,8138,382,"Bhotahity, Kathmandu",MK Publishers and Distributors,TEXT MATERIAL,Principles of Management in Nepal  (Nepalma bybasthapanka siddantaharu),Govinda Ram Agrawal
1972,5882,317,New York,Oxford University Press,TEXT MATERIAL,An Introduction to Social Anthropology,Lucy Mair
2056,6086,412,"Kathmandu, Nepal",Nepali Lekhak Sangh,TEXT MATERIAL,Badi,Dhruba Chandra Gautam
1978,9241,79,New Delhi,Rani Kapoor,TEXT MATERIAL,Indian Images the Bramanic Iconography,B.C. Bhattacharya
1976,2558,595,New Delhi,Sterling Publishers,TEXT MATERIAL,Modern Western Political Thought,R.P. Sharma
1993,825,551,London,Everyman's Library,TEXT MATERIAL,The Tin Drum,Gunter Grass
2056,7118,200,Kathmandu,sunkoshi sahitya Pratisthan,TEXT MATERIAL,Sunkoshi  1,Krishna Prasad Parajuli
1974,5819,423,India,Laxminarayan,TEXT MATERIAL,Adhunik Bharat,L.P. Sharma
2009,4281,73,"Kathmandu, Nepal","Shankar Dev Campus, Department of Management (MBS), T.U.",TEXT MATERIAL,Market Share Analysis of Domestic & Foreign Pharmaceutical Companies in Nepal,Saroj Kumar Thapa
1992,1225,903,New Delhi,New Age International,TEXT MATERIAL,Mathematical Analysis,S.C. Malik | Savita Arora
1995,4963,460,New York,Vintage Books,TEXT MATERIAL,Snow Falling on Cedars,David Guterson
1994,2978,372,New Delhi,Wiley Eastern Pvt.Ltd.,TEXT MATERIAL,Genetics,K.B. Ahluwalia
1978,9686,895,"Kathmandu, Nepal",Ratna Pustak Bhandar,TEXT MATERIAL,Land Tenure & Taxation in Nepal,Mahesh C. Regmi
2013,7949,918,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Microbiology,Michael J. Pelczar | E.C.S. Chan | Noel R. Krieg
2062,4812,242,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Pashchimaka Kehi Mahan Sahityakar,Tana Sharma
2004,1031,720,New Delhi,Prentice-Hall,TEXT MATERIAL,Modern Physics,John R. Taylor | Chris D. Zafiratos | Michael A. Dubson
2071,9915,858,"Bhotahity, Kathmandu",Sukunda Pustak Bhawan,TEXT MATERIAL,A Text Book of Physics vol.1  : For B.Sc. 1st Year,Pitri Bhakta  Adhikari
1993,9781,244,London,Arrow books,TEXT MATERIAL,Japan's Global Reach,Bill Emmott
1988,9789,371,London,Dom Tom,TEXT MATERIAL,Dangerous Secrets,John Witherden
1995,10982,401,Latin America,Lynne Rienner Publisher,TEXT MATERIAL,Latin Americans Economic Development ( Confronting  Crisis),James L. Dietz
2042,3429,128,"Kathmandu, Nepal",Rajju Paudel,TEXT MATERIAL,Nepalma Banking Byabastha,Radha Krishna Paudel
,13517,,,,TEXT MATERIAL,aaaaa,
2000,2347,54,"Bharatpur, chitwan","Department of Economics, Birendra Multiple campus",TEXT MATERIAL,Income inequality in Nepal,Indra Raj Bhattrai
2068,6189,1226,"Chandragadi, Jhapa",Pradip raman regmi,TEXT MATERIAL,"Juhi : Barsha 31, No.1, Purnank 65 ( Ashad/shrawan/ Vadra)",Chudamani Regmi
0,3705,237,2033,"Kathmandu, Nepal",TEXT MATERIAL,Uttarprachin Kalin Mudra,Hari Ram Joshi
2011,9609,215,India,Cambridge,TEXT MATERIAL,Active Grammar with answer Level 3,Mark Lioyd | Jeremy Day
2060,1937,302,"Bhotahity, Kathmandu",Nabin Prakashan,TEXT MATERIAL,Principles of Economics,Shyam Joshi
2011,8490,637,"Mumbai, India",Himalaya PublishingHouse,TEXT MATERIAL,Principles of Population Studies,Asha A. Bhende | Tara Kanitkar
2004,6837,780,New Delhi,S. Chand & Company,TEXT MATERIAL,A Textbook of Organic Chemistry,B.S. Bahl | Arun Bahl
2001,9745,317,Boston,Bacon Press,TEXT MATERIAL,The Great Transformation,Karl Polanyi
1997,7150,388,"Kathmandu,Nepal",Himalayan ecosphere,TEXT MATERIAL,Ichthyology of nepal,Tej Kumar Shrestha
1998,2351,108,"T.U., Kathmandu",Central Department of Economics,TEXT MATERIAL,""" Impact of ADB / N on Agricultural Development in Nepal """,Jibchh yadav
2059,3353,556,Kathmandu,Ratnapustak Bhandar,TEXT MATERIAL,Public Finance ( Sarbajanik Arthasastra),Bhoj Raj Ojha
1976,1655,271,Bombay,Vora & Company Publishers,TEXT MATERIAL,"Land Reform, Walfare & Economic Growth",B.S. Sidhu
2076,10787,408," Kathmandu, Nepal",Samjhana Prakashan,TEXT MATERIAL,Microeconomics for Business for BBS 1st Year (Nepali Language),Rijan Dhakal à¤°à¤¿à¤œà¤¨ à¤¢à¤•à¤¾à¤²
2063,4791,394,"Kathmandu,Nepal",Nabin Prakashan,TEXT MATERIAL,Nepali kabita ra Akhyan,Prof. Mohan raj sharma | Dr. Khagendra Prasad luitel
2076,10986,71,Chitwan,Priya Raj Regmi,TEXT MATERIAL,Swaha,Indra Prsad Regmi
2067,11076,168,Ktm,Budda Yekdemik Publisher,TEXT MATERIAL,Chalchira siddhant,"Dhungel , Madhab"
2014,12463,29,"Bahartpur,Chitwan","Department Of Sociolgy,Birendra Multipel Campus",TEXT MATERIAL,Women's Access In Soical -Economic Aspects And Decision Making,"Gurung,Dhan Bahadur"
2056,8762,112,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Prem Binod Nandan Jibani Batitwo ra Krititwoko Aadyayan,PremKumar Kandel
1991,1540,243,New Delhi,Rawat Publications,TEXT MATERIAL,Population Redistribution & Development in South Asia,Leszek A. Kosinski | K. Maudood Elahi
0,8035,421,,"Pearson, Prentice Hall",TEXT MATERIAL,Earth: An introduction Physical Geology : Photocopy,Tarbuck Lutgens
2052,1373,191+58,"Bhotahity, Kathmandu",Sukunda Pustak Bhawan,TEXT MATERIAL,Fundamentals of Mathematical Analysis,R.M. Shrestha
2025,6291,405,"Kathmandu, Nepal",Nepal Rajkiya Pragya Pratishthan,TEXT MATERIAL,"Buddha Charitra, Mahakabya",Bishwonath Sharma Bhattarai
2009,4268,62,"New Baneshwor, Kathmandu","Nepal Commerce Campus, Department of Management (MBS), T.U.",TEXT MATERIAL,Problems and prospects of fruits markets in Kathmandu : A thesis,Gajendra Prasad Bhatta
1999,808,528,London,Everyman's Library,TEXT MATERIAL,The Book of Common Prayer,Diarmaid MacCulloch
1997,407,254,New Delhi,Sahitya Akademi,TEXT MATERIAL,Nativism Essays in Criticism,Makarand Paranjape
2013,8025,526,"Bhotahity, Kathmandu",Asmita Books Publishers & Distributors (P) Ltd.,TEXT MATERIAL, Accounting for Financial analysis & Planning ( Bittiya bishleshan tatha yojana lekhabidi),Yadav Raj Koirala | Rajeshwor Prasad Acharya | Padam Raj Joshi | Ashok Kumar Jha | Shree Ratna Shakya | Shiva Prasad Poudel | Jogindar Goiet | Ram Krishna Dhakal | Binod Shaha | Arun Neupane | Dilli Ram Bhandari | Devi Lal Sharma | Shiva Prasad Sapkota | Ram Prasad Neupane
1990,7048,326,"Bhotahity, Kathmandu",Nabin Prakashan,TEXT MATERIAL,"Economics of Public Finance, Financial System & International Trade",Shyam Joshi
1991,9467,106,"Kathmandu, Nepal",International Center for Integrated Mountain Development ( ICIMOD ),TEXT MATERIAL,Risk Engineering inthe Hindu Kush - Himalaya,Birendra B. Deuja
2071,8835,330,"Kathmandu, Nepal",Pradhan Books House,TEXT MATERIAL,"Government, Institutions & Local Rural Government For BA 3rd",Dr. Chakrapani Luintel | Purushottam Luintel
2006,8995,81,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Socio-Economic Status of women in Nepal,Bhola Nath Bagale
2013,9566,66,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus,",TEXT MATERIAL,Land Enitlement and Women Empowerment,"Poudel,Rabindra Raj"
1993,2737,223,New Delhi,Wiley Estern ltd,TEXT MATERIAL,Principles of the  Solid State Physics,H V. Keer
1986,2780,1320,New Delhi,Macmillan,TEXT MATERIAL,Textbook of Physical Chemistry,Samuel Glasstone
2000,1904,1495,New York,John Wiley & Sons,TEXT MATERIAL,Advanced Organic Chemistry:,Jerry March
2077,11001,332,Kathmandu,KEC Publication And Distribution  P Ltd,TEXT MATERIAL,Numerical Methods,"Saud, Arjun Singh"
2012,7388,273,"Kathmandu, Nepal",Vidhyarthi Pustak Bhandar,TEXT MATERIAL,New Generation English,Jai Raj Awasthi | Govinda Raj Bhattrai | Tirth Raj Khaniya
1984,1539,429,"Plano, Texas",Business Publications,TEXT MATERIAL,Economics of Social Issues,Richard H. Leftwich | Ansel M. Sharp
1985,3547,156,"Kathmandu, Nepal",,TEXT MATERIAL,Nepal and the world Economy,Dr. Hari Bansh Jha
2009,5149,21,"Chitwan, Nepal","Department of Management, BMC",TEXT MATERIAL,A case of study of Cashflow Statement of Kailash Oil Stores,Rajan Sharma
2014,9316,580,New Delhi,S. Chand & Company,TEXT MATERIAL,Botany For Degree Students: Gymnosperms,P.C. Vashishta | A.K. Sinha | Anil Kumar
2012,9112,79,"Chitwan, Nepal","Department of Management, Birendra Multiple Campus",TEXT MATERIAL,Buying Decision Making With Respect To Motorbike Purchase In Narayangarh,Sushila Adhikari
1981,1803,119,Kathmandu,Economics Instruction committee,TEXT MATERIAL,An Econometric Analysis Of The Determinants Of Inflation Nepal,yuba Raj Khatiwada
2010,6372,482,New Delhi,John Wiley & Sons,TEXT MATERIAL,Spectrometric Identification of Organic Compounds,Robert M. Silverstein | Francis X. Webster
2012,7455,112,"Kathmandu, Nepal",A. Rajbhandari & R. Pradhananga,TEXT MATERIAL,Experiments on Physicochemical & Microbiological Analysis of Water,Armila Rajbhandari (Nyachhyon) | Sanjeev Das Rajbhandari | Situ Pradhananga (Shrestha)
2003,6909,173,New Delhi,S. Chand & Company,TEXT MATERIAL,Practical Botany,C.L. Sawhney
1992,4764,20+1048+68,New York,A Harcourt Brace Jovanovich College Publisher,TEXT MATERIAL,Capital Structure Management (Photocopy):,J. Fred Weston | Thomas E. Copeland
2008,2134,282,New Delhi,Mark Publishers,TEXT MATERIAL,A Critical Study of Post-Colonial Literature,Dr. Bhaskar A. Shukla
2050,7307,124,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Swasnimanchhe,Balkrishna Sama
1997,2883,667,New york,John Wiley,TEXT MATERIAL,The Systematic Identification of Organic Compounds,Ralph L. Shriner
2077,13832,936,"Bharatpur, Chitwan",Chitwan Sahitya Parishad,TEXT MATERIAL,केदारनाथ खनाल व्यक्ति कृति अम्रितो उत्सब  ( Kedaranatha Khanala vyakti kriti),"Khanal, Narayan Prasad"
1994,2856,210,India,Mrs. Sushnma Mahto,TEXT MATERIAL,An Introduction to Botany Practical,R.B. Mahto | U.K. Singh
2012,8254,419,New Delhi,Wiley India Pvt. Ltd.,TEXT MATERIAL,Sedimentology & Stratigraphy,Gary Nichols
2054,6660,489,South Sikkim,Nirman Prakashan,TEXT MATERIAL,"Parijatka Sankalit Rachanaharu, Vol. 2",Nirman Prakashan
1975,3551,388,Moscow,Progress Publishers,TEXT MATERIAL,A Science in itsYouth,A. Anikin
1984,2900,422,"Shivaji Road, Meerut",Rastogi Publications,TEXT MATERIAL,Elements of Ecology,P.D. Sharma
2009,5161,24,"Chitwan, Nepal","Department of Management, Birendra Multiple Campus",TEXT MATERIAL,Investment policy of Agriculture development bank ltd.,Saroj Devkota
2074,10470,1408,"Kathmandu, Nepal",Janata Prasaran tatha Prakashan,TEXT MATERIAL,Nepali Sanskriti Bishwokosh,Prof. Dr. Som Prasad Khatiwada
2068,8355,138,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Yamapuriko Mahal (Upanyas),Hom Nath Subedi
1957,287,224,New York,Doubleday Anchor Books,TEXT MATERIAL,An Elementary Text Book of Psychoanalysis,Charles Brenner
1987,4064,1092,New Delhi,S. Chand & Company,TEXT MATERIAL,Chordate Zoology & Elements of Animal Physiology,E.L. Jordan | P.S. Verma
2072,10372,407,"Kathmandu, Nepal",Buddha Academic Publication,TEXT MATERIAL,Business Law,Baburam Pandey
2060,2272,90,"Bharatpur, Chitwan","Master of arts in Nepali, Department,Birendra Mult",TEXT MATERIAL,"गोविन्द राज बिनोदिको जीवनी, व्यक्तित्व र कृतित्वको अध्ययन (Govinda Raj Binodiko jeebani , byaktitwo ra krititwoko addhyan )",Tanka Prasad Poudel
2005,188,687,New Delhi,Robin Books,TEXT MATERIAL,101 Selected Short Sories,O. Henry
2068,8327,183,"Bhotahity, Kathmandu",Sukunda Pustak Bhawan,TEXT MATERIAL,Samskrit Sahitya siddanta,Dr. Kul Prasad Dhungana
2050,3186,587,Kathmandu,Ratna PustakBhandar,TEXT MATERIAL,Arthasastrako Siddant,Indra prasad Mishra
2076,10957,252,Kathamandu,KEC Publication  Distributors,TEXT MATERIAL,Mathematics II for BSC CSIT 2nd Sem.,"Binod Prasad Dhakal, Ramesh Gautam, Surendra Patha"
1974,5550,96,America,Zondervan Publishing House,TEXT MATERIAL,Biology: ,Olive Fischbacher | William J. Tinkle | Ralph Paisley
2076,11093,440,Kathmandu,Khanal Publications,TEXT MATERIAL,Financial Institutions and Markets,"Thapa, Kiran, Rameshwar, Acharya, Madan Madan Kand"
1967,3437,416,Delhi,Rajhans Prakashan,TEXT MATERIAL,Arthasastrako Ruprekha,Ananda sworup Garg | S.K. Garg
1973,1182,127,London,Ward Lock Limited,TEXT MATERIAL,Simple Vegetable Growing ,Roy Genders
2002,8499,403,London,"Lynne Rienner Publishers, Inc.",TEXT MATERIAL,From Cape to Congo; Southern Africa's Evolving Security Challenges,Mwesiga Baregu | Christopher Landsberg
2009,2136,272,New Delhi,A.P.H. Publishing Corporation,TEXT MATERIAL,The Art of Letter Writing,Grenville Kleiser
1968,982,598,London,Addison-Wesley Publishing Company,TEXT MATERIAL,Fundamental University Physics Vol.3:,Marcelo Alonso | Edward J. Finn
2031,5785,256,"Kirtipur, Kathmandu",Rajnitisashtra Bivag,TEXT MATERIAL,Asiali Unani ththa Paschatya rajnitik chintan,Prof. Ratnakamal Baidhya
2050,7055,344,"Patana , New Delhi",Rajkamal Prakashan Pvt Ltd,TEXT MATERIAL,Bibhram aur athartha,Kristopher Kandwell
2001,685,908,London,Everyman's Library,TEXT MATERIAL,In Search of Lost Time Vol. 3,Marcel Proust
1980,1165,498,New Delhi,Oxford & IBH Publishing Company,TEXT MATERIAL,Textbook of Plant Pathology,H.K. Baruah | Parukutty Baruah | Anuradha Baruah
2049,2447,167,"Babarmalal, Kathmandu",Hismajesty Government,TEXT MATERIAL,"Gau Vikas Samiti Yen, 2048",Hismajesty Government
2013,8193,864,New York,Mcgraw hil,TEXT MATERIAL,"Jawetz, Melnick & Adelberg's Medical Microbiology",Geo. F. Brooks | Karen C. Carroll | Stephen A. Morse | Timothy A. Mietzner
2002,8629,63,New York,Houghton Mieflin Company,TEXT MATERIAL,The Lord of The Rings; The Two Towers Visual Companion,Jude Fisher
0,6259,250,,,TEXT MATERIAL,Gham ka Paila,Dhruba Chandra Gautam
1991,13705,341,India,M.Devi Lalitpur Colony Lashkar( gwalior),TEXT MATERIAL,Nepalese Women,"Majupuria,Indra"
1985,2486,342,Allahabad,Chaitanya Publishing House,TEXT MATERIAL,Histry of Political thought,M.G. Gupta
1988,3427,445,New Delhi,Laxminarayan Agarwal,TEXT MATERIAL,History Of Economic Thought ( Arthik chintanka Itihas),Dr.Mahes Chandra Chaturbedi | Dr.Mithalesh Chandra Chaturbedi
2075,10999,224,Kathmandu,KEC Publiction And Distribution Pvt. Ltd,TEXT MATERIAL,Computer Architecture And Organization,"Sah, Anil Kumar"
2066,5282,151,"Kathmandu, Nepal",Sampada anwensan tatha bikash munch,TEXT MATERIAL,Tarkari Sambandi Jannai parne kura,Dev bahadur Khadka
0,4155,623,New Delhi,"Bhotahity, Kathmandu",TEXT MATERIAL,Mathematics & Statistics For Economics,Bhanu Chandra Bajracharya
2007,6402,218,New Delhi,CBS Publishers & Distributors,TEXT MATERIAL,Practical Microbiology,Bharti Arora | D.R. Arora
2050,6979,245,"Kathmandu, Nepal",Pairabi Prakashan,TEXT MATERIAL,Political Thought & Isms (Rajnitik Bichardhara Ra Vadharu),Buddhi Prasad Bhandari
1993,2807,475,New Dhelhi,Wiley Eastern Ltd,TEXT MATERIAL,Unified College Chemistry,C.parameswara Murthy
1975,268,528,London,Macmillan Education,TEXT MATERIAL,Far From The Madding Crowd,Thomas Hardy
2004,392,58,Kathmandu,Society of Nepali Writers in English,TEXT MATERIAL,Of Nepalese Clay Vol.5,Padma P. Devkota | Hriseekesh Upadhyay | Khem Kumar Aryal
2010,8179,330,Delhi,Cambridge University,TEXT MATERIAL,Rhetoric and Composition : An introduction,Steven Lynn
1976,3830,724,New Dehli,The upper India Publishing,TEXT MATERIAL,Political Theory,Eddy Asirvatham
1982,1051,332,London,Longman Group,TEXT MATERIAL,Complete Junior Physics,Arthur Atkinson
1993,8424,626,London,Mayfield Publishing Company,TEXT MATERIAL,Twelve Plays For Theatre,Robert Cohen
2063,4100,342,"Kathmandu, Nepal",Biddarthi Pustak Bhandar,TEXT MATERIAL,Theoretical model of culture (Sanskritko saidantik dhancha),Tikaram Gautam
2068,7266,184,"Kathmandu, Nepal",Curriculam Department of TU,TEXT MATERIAL,Nepali Sahityeek Rachana,Curriculam Department of TU
2069,9021,101,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,"Reshm Birhiko Jibani, Byaktitwo ra Krititwoko Aadyayan",Bodharaj Pokharel
1979,3321,296,Lukhnow,Daligang Railway Krasing,TEXT MATERIAL,History of India (Bharat Barshaka Itihas),Binod Chandra Pande | N.R.Sethi
2006,6818,482,New Delhi,John Wiley & Sons,TEXT MATERIAL,Spectrometric Identification of Organic Compounds,Robert M. Silverstein | Francis X. Webster
1967,3759,572,Calcutta,Rupa & Company,TEXT MATERIAL,The Wonder That wa India,A.L. Basham
1999,3009,576+A-2 to R-11+15,Delhi,All India Traveller Bookseller,TEXT MATERIAL,International Economics,Peter H. Lindert
2069,7463,224,"Kathmandu, Nepal",Oriental Publication,TEXT MATERIAL,Tarinika Katha,Tarini Prasad Koirala
1987,2739,538,New Delhi,prentice Hall of India,TEXT MATERIAL,Electronics Fundamentals and applications,John D. Ryder
2001,557,563,New York,A Harvest Book,TEXT MATERIAL,Rails Under My Back,Jeffery Renard Allen
1999,4717,119,India,Laxmi Subedi,TEXT MATERIAL,Aamrapali ,Prem Singh Subedi
1993,723,843,London,Everyman's Library,TEXT MATERIAL,Nicholas Nickleby,Charles Dickens
1983,2397,1136,New Delhi,S. Chanda & Company,TEXT MATERIAL,Select Constitutions:,Anup Chand Kapur
2019,13540,28,"Bharatpur,Chitwan","Department of English,Birendra Multiple Campus",TEXT MATERIAL,Representation of Racial Conflict in Faulkner's Light in August,"Ghimire,Yamkala"
1997,8397,281,New York,The World Bank,TEXT MATERIAL,Agricultural Extension & Research:,Dennis L. Purcell | Jock R. Anderson
2066,5231,110,Kathmandu,Sthaniya bikash mantralaya,TEXT MATERIAL,"Mantralayko samchhipta parichaya ebam barsik karyakram ,bajet tatha pragati pratibedan, 2066",Local Government of Nepal
2004,1301,1255+I-27,New Delhi,John Wiley & Sons,TEXT MATERIAL,Organic Chemistry,T.W. Graham Solomons | Craig B. Fryhle
2019,13533,40,"Bharatpur, Chitwan","Department of  Sociology,Birendra Multiple Campus",TEXT MATERIAL,Role of Property Rights on Women Empowerment,"Parajuli,Nirmala"
1987,4152,210,England,Longman,TEXT MATERIAL,Literary  Appreciation,H.L.B. Moody
1992,3638,547,New delhi,Shiva Lal Agarwqal and Company,TEXT MATERIAL,Principles of Public Finance,Tilak Narayan Hajela
2007,2032,636,New Delhi,Wiley India Pvt.Ltd.,TEXT MATERIAL,Introduction to Econometrics,G.S. Maddala
